	Series1_NHBE_Mock_1	Series1_NHBE_Mock_2	Series1_NHBE_Mock_3	Series1_NHBE_SARS-CoV-2_1	Series1_NHBE_SARS-CoV-2_2	Series1_NHBE_SARS-CoV-2_3	Series9_NHBE_Mock_1	Series9_NHBE_Mock_2	Series9_NHBE_Mock_3	Series9_NHBE_IAV_1	Series9_NHBE_IAV_2	Series9_NHBE_IAV_3
TMEM240	1	1	0	0	1	0	1	1	1	1	1	2
SSU72	1078	886	1344	827	851	2692	664	677	996	3356	730	738
MIB2	104	133	156	147	59	237	246	235	321	606	123	202
MMP23B	0	0	0	0	0	0	0	0	0	1	0	0
MMP23A	0	0	0	0	0	0	0	0	0	0	0	0
CDK11B	229	227	256	243	210	695	149	179	181	693	161	129
SLC35E2B	376	375	497	357	304	889	146	133	163	781	160	186
CDK11A	97	82	125	113	98	295	66	48	79	294	72	50
NADK	388	334	555	396	319	976	346	340	413	1921	422	506
GNB1	8479	6953	11155	7486	7295	20663	2615	2413	2743	18715	4454	4269
CALML6	4	6	7	10	4	12	0	1	1	1	0	0
TMEM52	0	6	1	4	2	10	1	2	3	2	1	1
GABRD	0	0	0	0	0	0	0	0	0	0	0	0
PRKCZ	638	552	894	579	478	1510	156	138	156	845	239	221
SKI	633	633	850	763	529	1669	409	473	513	2292	453	526
MORN1	23	25	46	39	26	75	16	8	24	49	11	16
LOC100129534	28	16	24	20	12	46	4	1	2	23	9	6
RER1	1495	1370	2065	1319	1336	3642	764	800	1178	4180	950	1163
PEX10	157	144	244	114	94	354	84	97	127	445	99	76
PLCH2	948	1118	1290	1204	852	2578	972	919	1234	3593	843	1089
PANK4	242	239	329	301	232	664	172	179	201	707	165	180
HES5	2	2	2	0	3	2	20	13	36	26	4	18
TNFRSF14	80	104	105	75	57	154	26	28	60	189	17	42
FAM213B	379	297	519	353	268	953	0	0	0	0	0	0
MMEL1	1	2	0	1	4	3	0	1	0	0	0	0
TTC34	0	0	0	0	0	0	1	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16	35	25	39	27	19	56	15	10	10	43	12	14
MIR4251	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF16	210	232	281	288	186	538	185	176	247	644	128	143
MEGF6	57	76	80	52	43	122	13	16	25	58	24	37
MIR551A	0	0	0	0	0	0	0	0	0	0	0	0
TPRG1L	689	629	1158	622	665	2019	400	411	720	2740	697	773
WRAP73	125	121	165	142	102	275	97	139	149	529	124	108
TP73	12	17	10	8	3	16	5	2	3	0	0	6
TP73-AS1	159	195	231	173	153	433	87	76	61	347	95	73
CCDC27	0	0	0	0	0	0	0	0	0	0	0	0
SMIM1	4	5	6	7	10	11	6	9	9	26	3	4
LRRC47	494	450	686	523	432	1346	314	306	389	1570	311	414
CEP104	594	462	806	488	510	1397	244	195	224	1381	369	359
DFFB	80	58	116	86	83	223	49	32	47	155	42	54
C1orf174	178	169	249	153	178	465	89	111	148	558	143	120
AJAP1	13	24	29	14	6	22	8	8	12	35	10	10
MIR4689	0	0	0	0	0	0	0	0	0	0	0	0
NPHP4	109	85	140	124	98	314	83	78	77	384	96	105
KCNAB2	31	32	55	34	27	86	0	1	1	14	2	11
CHD5	1	3	6	0	5	6	0	0	0	21	6	0
RPL22	4150	3374	6186	3925	4344	11992	1877	2102	2287	6678	1539	1748
RNF207	198	267	276	261	248	746	53	62	94	229	70	40
ICMT	1369	1213	1963	1107	1153	3580	697	721	830	2938	654	900
HES3	0	0	0	0	0	0	0	0	0	0	0	0
GPR153	738	697	1019	870	678	2044	601	588	678	2158	519	455
ACOT7	675	588	963	794	494	2017	1160	1211	1399	5319	1403	881
HES2	4768	3998	6323	3999	3981	11630	1759	1764	1779	4686	1091	1761
ESPN	515	638	836	485	339	1016	298	250	413	1102	199	613
MIR4252	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF25	157	233	279	211	148	531	210	187	270	589	147	215
PLEKHG5	922	1100	1485	1197	798	2632	669	592	735	2617	583	766
NOL9	314	255	396	227	264	646	102	120	174	603	139	101
TAS1R1	0	0	0	1	0	1	0	0	0	2	0	0
ZBTB48	127	164	210	159	121	396	69	77	132	406	89	91
KLHL21	482	428	871	531	462	1241	498	553	484	3183	741	557
PHF13	216	176	307	158	203	482	79	73	101	486	116	170
THAP3	70	80	125	110	76	226	48	48	84	217	49	63
DNAJC11	942	760	1497	979	882	2847	387	313	368	1851	501	550
CAMTA1	200	196	382	190	192	620	127	127	186	586	115	184
VAMP3	1627	1366	2414	1279	1405	3847	745	733	1128	5352	1094	1386
PER3	135	123	216	95	84	224	47	43	32	320	65	31
UTS2	0	0	0	0	0	0	0	0	0	3	0	1
TNFRSF9	7	10	8	6	5	14	5	1	1	105	19	3
PARK7	1780	1560	2592	1525	1676	4824	1026	1165	1689	5232	1369	1293
ERRFI1	1721	1520	2666	1732	2079	5900	576	602	962	5032	1088	1239
SLC45A1	4	3	3	5	0	10	1	1	0	5	3	1
RERE	1095	1046	1396	998	898	2542	341	307	233	1618	335	308
ENO1	28567	23784	37550	29550	25434	77130	14461	14429	16290	83278	20396	16881
ENO1-AS1	0	0	4	0	1	0	0	2	1	15	5	2
CA6	0	0	0	1	1	2	0	0	0	2	0	3
SLC2A7	0	0	0	0	0	0	0	0	0	0	0	0
SLC2A5	18	19	21	9	12	24	5	4	3	26	7	7
GPR157	56	63	95	108	43	153	23	15	38	152	29	17
MIR34A	1	2	6	4	2	3	0	0	0	0	0	0
H6PD	434	427	620	370	342	997	163	151	216	852	202	259
SPSB1	678	692	1030	591	559	1633	158	164	142	953	206	144
SLC25A33	13	16	31	23	17	53	22	34	42	160	32	51
TMEM201	63	64	82	73	55	148	97	81	64	450	99	48
PIK3CD	317	262	479	347	314	944	205	166	213	1472	298	180
CLSTN1	8324	7861	11675	7746	6743	19880	3513	3445	2893	21599	5147	4337
CTNNBIP1	409	344	585	307	276	960	423	475	614	2402	497	671
LZIC	375	297	556	251	319	935	171	219	360	1319	270	309
NMNAT1	393	351	629	378	398	1212	111	111	208	641	159	176
RBP7	4	5	21	11	13	29	4	6	6	12	3	4
UBE4B	1043	960	1512	798	872	2300	336	311	344	2014	476	433
KIF1B	1414	1241	2051	1152	1249	3612	370	379	372	2780	550	743
PGD	3237	2446	3899	2659	2946	8597	856	899	1015	3073	804	642
CORT	1	0	0	0	0	0	1	1	1	3	6	1
DFFA	939	711	1277	840	745	2146	328	268	427	1434	401	373
PEX14	358	415	563	446	299	923	218	209	211	666	201	183
CASZ1	306	343	426	299	211	705	143	144	118	493	94	163
C1orf127	0	0	0	2	3	1	0	0	1	0	0	0
TARDBP	2368	1940	3578	1735	2070	5865	777	841	1176	4539	1032	897
MASP2	1	0	1	0	0	3	13	6	18	43	11	10
SRM	336	318	458	394	325	1167	842	811	941	3503	828	1062
EXOSC10	1153	933	1506	920	993	2997	602	588	626	2522	558	527
MTOR	1444	1243	1994	1318	1262	4177	487	496	504	2786	751	790
MTOR-AS1	0	0	0	0	0	0	0	1	1	0	0	0
ANGPTL7	0	0	0	0	0	0	1	0	0	0	0	0
UBIAD1	175	188	250	166	175	505	103	123	125	602	146	150
FBXO2	753	716	1150	938	581	1825	583	552	748	1619	436	589
FBXO44	410	431	580	421	357	1052	228	204	283	852	211	233
FBXO6	114	80	142	108	84	313	93	110	131	328	86	132
MAD2L2	100	93	134	112	81	219	141	136	109	576	147	125
DRAXIN	1	0	0	0	0	1	0	0	0	0	0	0
AGTRAP	600	715	907	689	460	1569	339	375	542	1744	407	386
MTHFR	264	233	383	232	221	645	89	98	94	501	119	115
CLCN6	197	184	315	212	206	553	63	62	88	637	109	104
NPPA-AS1	4	7	3	6	7	12	0	5	2	33	0	1
NPPA	0	1	0	0	0	6	2	5	1	1	1	1
NPPB	0	0	0	0	0	0	0	0	0	0	0	0
KIAA2013	512	515	694	534	392	1210	420	465	541	1713	405	536
PLOD1	2445	2258	3490	2614	2022	6241	1055	1038	1062	4925	1210	1329
MFN2	2974	2513	4102	2861	2477	7177	1237	1132	1192	6486	1685	1690
MIIP	117	131	156	120	110	323	180	142	192	650	150	132
TNFRSF8	0	0	0	0	0	0	0	1	0	1	1	0
TNFRSF1B	0	0	0	0	2	0	0	0	0	59	5	0
MIR4632	0	0	0	0	0	0	0	0	0	0	0	0
VPS13D	1828	1679	2676	1575	1595	4519	386	334	356	2109	555	585
SNORA59B	0	0	0	0	0	0	0	0	0	0	0	0
SNORA59A	0	0	0	0	0	0	0	0	0	0	0	0
DHRS3	2125	2051	3004	1911	1797	4586	156	196	186	1607	384	85
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0
C1orf158	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF12	0	0	0	0	0	0	0	0	0	0	1	0
PRAMEF1	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPCL1	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF2	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF22	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0	0	0	0	0	0	0
LRRC38	0	0	0	0	0	0	0	0	0	0	0	0
PDPN	1073	941	1617	1107	1163	3350	564	535	525	2964	651	648
PRDM2	1020	926	1319	791	848	2549	233	215	179	1201	284	297
KAZN	127	175	249	158	143	408	62	68	72	275	63	96
TMEM51-AS1	43	57	67	59	40	138	8	8	5	21	5	11
TMEM51	207	225	383	275	246	812	119	141	159	610	123	119
FHAD1	2	0	1	2	0	6	0	0	0	0	0	0
EFHD2	1058	1051	1496	1546	1021	3404	751	810	979	4474	988	551
CTRC	0	0	0	0	1	0	1	1	0	4	0	0
CELA2A	0	0	0	0	0	0	0	0	0	0	0	0
CELA2B	0	0	0	0	0	0	0	0	0	1	2	0
CASP9	111	86	123	85	73	244	33	38	37	187	46	33
DNAJC16	430	490	901	387	396	1205	110	113	155	834	176	237
AGMAT	25	12	25	9	6	46	10	10	20	57	20	8
DDI2	92	71	140	75	57	274	18	13	14	230	71	50
RSC1A1	95	78	174	85	86	262	29	22	19	199	54	45
PLEKHM2	1003	993	1340	1068	797	2434	508	485	574	2756	730	515
SLC25A34	4	16	11	13	8	31	5	11	3	30	21	16
TMEM82	0	0	0	0	0	0	0	0	0	0	0	0
FBLIM1	2738	2359	3579	2589	2431	7088	1345	1351	1513	7728	1655	1060
UQCRHL	77	64	127	81	66	200	51	46	77	187	60	48
FLJ37453	8	14	25	16	15	36	13	9	15	54	18	16
SPEN	2419	2036	3321	2197	2038	6206	566	476	325	3427	783	620
ZBTB17	189	230	320	324	179	648	168	124	177	674	156	129
HSPB7	1	4	3	1	1	6	1	2	0	0	0	1
CLCNKA	0	0	0	0	0	3	0	0	0	0	0	1
CLCNKB	1	2	0	0	0	0	0	0	0	0	0	0
FAM131C	15	28	33	18	12	55	13	7	11	23	5	9
EPHA2	1887	1841	2616	2745	1948	6368	1665	1691	2173	12351	2770	2028
ARHGEF19	75	90	99	89	36	173	36	33	34	92	12	21
FBXO42	262	197	344	189	223	605	154	149	163	898	217	238
SZRD1	1803	1680	2782	1937	1552	4873	623	661	566	3092	679	676
SPATA21	0	0	0	0	0	0	0	0	0	0	0	0
NECAP2	875	726	1159	933	865	2470	416	377	521	2868	615	435
CROCCP3	25	21	30	18	14	50	1	5	9	11	2	4
MIR3675	0	0	0	0	0	0	0	0	0	0	0	0
NBPF1	313	332	526	273	318	840	122	102	114	537	163	146
CROCCP2	54	83	97	76	52	145	52	45	93	279	51	61
MST1P2	13	12	24	16	12	42	14	10	25	60	14	22
ESPNP	0	0	0	0	0	2	0	0	0	0	0	0
MST1L	4	9	8	11	5	11	1	0	1	5	0	1
CROCC	69	83	130	86	74	186	93	85	143	334	75	81
MFAP2	879	872	1102	907	794	2352	332	350	343	1454	319	183
ATP13A2	737	745	992	973	644	2175	966	922	851	5652	1239	912
SDHB	955	828	1343	950	879	2853	505	448	688	2539	487	483
PADI2	38	37	67	55	46	143	13	20	15	67	13	7
PADI1	297	334	455	305	318	1045	126	143	334	372	72	145
PADI3	453	459	604	242	217	836	38	35	66	145	51	31
PADI4	1	0	1	1	0	3	0	0	1	3	0	0
PADI6	1	0	0	0	0	0	0	0	0	0	0	0
RCC2	3162	2702	4028	2585	2614	8035	1359	1480	1831	6715	1470	1581
ARHGEF10L	166	189	236	188	121	458	147	171	209	364	83	143
ACTL8	0	0	0	0	0	0	0	0	0	0	0	0
IGSF21	0	0	0	0	0	0	0	0	0	0	0	0
KLHDC7A	17	8	10	5	13	16	1	1	1	5	1	0
PAX7	1	0	0	0	0	0	0	0	0	0	1	0
TAS1R2	0	0	0	0	0	0	1	0	0	0	0	0
ALDH4A1	561	528	768	581	371	1260	277	204	368	1233	311	389
MIR4695	0	0	0	0	0	0	0	0	0	0	0	0
IFFO2	852	737	1160	669	636	1772	378	332	235	1815	464	397
UBR4	3451	3070	5064	3276	3209	9579	987	976	793	6786	1785	1302
EMC1	1101	955	1601	1005	965	3020	539	542	617	3278	797	928
MRTO4	678	456	845	530	560	1714	509	494	700	2183	507	475
AKR7L	2	0	7	2	1	0	3	2	0	4	0	1
AKR7A3	5	2	2	1	0	6	3	2	0	1	0	1
LOC100506730	63	48	62	36	54	156	9	15	19	49	10	11
AKR7A2	425	397	583	307	312	976	206	212	295	792	185	241
PQLC2	125	131	187	147	106	334	144	137	122	591	124	102
CAPZB	3202	2750	4056	2668	2805	8494	1673	1945	2351	8237	1954	1754
MINOS1	268	274	439	257	261	708	246	268	494	1665	374	409
NBL1	0	3	0	3	3	2	0	0	5	1	0	0
HTR6	0	0	0	0	0	0	0	0	0	0	0	0
TMCO4	128	117	173	100	111	350	56	47	55	169	34	68
RNF186	0	0	0	0	0	0	0	0	0	0	0	0
OTUD3	107	120	234	119	134	408	54	45	70	407	70	117
PLA2G2E	0	0	0	0	0	0	0	0	0	0	1	0
PLA2G2A	0	0	0	0	0	0	0	0	0	0	0	0
PLA2G5	0	0	0	0	0	0	0	0	0	0	0	0
PLA2G2D	0	0	0	0	0	0	0	0	0	0	0	0
PLA2G2F	0	0	0	0	0	3	0	0	0	0	0	0
PLA2G2C	0	0	0	0	0	0	0	0	0	0	0	0
UBXN10	8	3	5	1	4	20	4	4	0	5	0	3
VWA5B1	0	0	0	0	0	0	0	0	0	0	0	0
CAMK2N1	1973	1866	2589	1321	1368	4210	456	446	647	2656	528	633
MUL1	688	566	887	563	584	1628	324	325	421	2387	564	577
FAM43B	0	0	0	0	0	0	0	0	1	0	0	0
CDA	671	668	905	737	747	2752	378	389	338	1481	327	232
PINK1	1390	1342	2026	1370	1198	3572	134	122	157	719	190	194
DDOST	3758	3581	4969	3395	3220	8910	1455	1579	1649	7611	1995	1989
KIF17	14	3	3	4	0	14	4	2	7	48	15	17
SH2D5	138	128	281	152	106	433	223	224	396	2381	535	457
HP1BP3	2149	1882	2787	1505	1772	5310	496	495	606	2734	566	800
EIF4G3	2835	2424	4001	2448	2677	7936	566	599	647	3656	748	1056
ECE1	2628	2387	3387	2669	2281	6759	814	765	661	4485	1064	1136
LOC100506801	1	0	2	1	2	5	0	1	1	13	0	0
NBPF3	172	134	228	165	128	474	73	47	61	261	76	124
ALPL	0	3	6	5	3	8	0	2	0	5	1	5
RAP1GAP	35	41	43	33	21	123	35	48	59	120	24	31
USP48	1337	1288	2272	1040	1196	3233	299	281	309	1608	390	461
LDLRAD2	15	50	13	28	22	52	3	4	2	3	4	0
HSPG2	3842	4335	5655	5372	2937	9604	1036	863	557	5629	1227	1975
CELA3B	0	0	2	0	0	0	0	0	0	0	0	0
CELA3A	0	0	0	0	0	0	0	0	0	0	0	0
LINC00339	20	25	45	16	24	67	14	18	18	72	12	37
CDC42	4261	4097	7429	3299	3785	10877	1594	1708	2688	10110	2222	2285
WNT4	70	94	100	182	126	232	6	6	8	12	3	17
ZBTB40	645	624	954	572	573	1683	163	166	194	1083	249	277
EPHA8	0	5	0	2	0	3	0	1	0	12	1	5
C1QA	0	0	0	0	0	0	0	0	0	0	0	0
C1QC	0	0	0	0	0	0	0	0	0	0	0	0
C1QB	0	0	0	0	0	0	0	0	0	0	0	0
EPHB2	1331	1266	1692	1232	1074	3150	297	312	262	1176	287	310
MIR4684	0	1	0	0	0	0	0	0	0	0	0	0
MIR4253	4	1	0	0	0	10	0	0	0	0	0	0
KDM1A	1302	1122	2066	1095	1207	3565	652	763	900	3654	872	949
MIR3115	0	0	0	0	0	0	0	0	0	0	0	0
LUZP1	2922	2449	4295	2664	2723	7922	671	646	564	5405	1352	1051
HTR1D	1	4	0	1	0	7	0	0	0	0	1	1
HNRNPR	4167	4042	7375	3456	3725	10005	953	1023	1160	4263	940	992
ZNF436	590	515	892	394	454	1254	117	113	186	670	141	271
TCEA3	43	41	31	25	24	73	5	7	6	10	4	7
ASAP3	110	137	188	112	93	250	39	36	43	75	22	48
E2F2	7	4	9	2	6	13	13	6	10	5	2	5
ID3	683	735	1228	686	514	1588	550	602	662	1243	318	613
MDS2	0	0	0	0	0	0	0	0	0	0	0	0
RPL11	20603	16960	28510	16694	17730	54125	5102	5262	7659	22915	5664	5821
PITHD1	369	277	501	295	291	802	192	185	299	1099	267	300
LYPLA2	963	972	1463	1129	781	2569	690	691	956	3669	814	595
GALE	478	497	670	567	485	1440	376	417	463	1635	405	347
HMGCL	608	450	649	415	444	1216	124	141	186	742	156	174
FUCA1	431	396	557	325	360	878	171	185	285	1076	222	301
CNR2	0	0	0	0	0	0	0	0	0	0	0	0
MIR378F	0	0	0	0	0	0	0	0	0	0	0	0
PNRC2	168	117	166	134	142	448	294	285	539	2291	427	615
SRSF10	759	649	1220	634	722	2007	295	327	561	2281	462	682
MYOM3	27	22	38	26	16	96	6	6	16	101	20	17
IL22RA1	38	49	79	44	54	106	33	30	16	58	9	31
IFNLR1	198	152	211	137	141	450	106	99	75	336	118	101
LOC284632	0	0	0	0	1	0	0	1	0	0	0	0
GRHL3	788	863	1076	681	637	1935	367	380	384	407	84	281
STPG1	316	352	499	281	300	869	177	150	185	700	161	186
NIPAL3	1878	1645	2783	1661	1761	4790	571	523	614	2868	713	1072
RCAN3AS	1	1	2	4	0	2	0	0	2	8	0	1
RCAN3	228	174	336	174	155	498	92	105	125	635	121	140
NCMAP	1	6	7	5	7	8	0	0	0	0	0	0
SRRM1	2470	2157	3393	2159	2259	6635	346	318	394	2262	494	485
CLIC4	1154	1101	2554	1091	1222	3392	441	444	770	5541	831	1395
RUNX3	40	33	34	42	33	100	15	26	23	172	35	29
SYF2	1330	1209	2008	1037	1127	3000	238	254	383	1153	260	298
RHD	2	1	0	0	0	0	2	0	0	4	0	0
TMEM50A	1098	1695	1911	1643	1011	2711	580	654	894	3506	726	856
RHCE	1	3	0	1	2	7	0	1	0	2	0	0
LDLRAP1	646	569	881	595	440	1397	323	314	341	1201	327	313
MAN1C1	24	24	31	7	13	30	2	2	3	4	1	6
MTFR1L	390	402	566	374	386	980	127	142	164	662	140	175
LOC646471	3	10	0	4	8	16	13	11	28	97	14	39
AUNIP	89	53	64	63	56	186	53	51	49	112	54	30
PAQR7	2205	2284	3071	2165	1908	5417	440	441	521	1380	327	647
STMN1	825	665	1159	626	738	2255	445	420	453	1410	282	218
MIR3917	0	0	0	0	0	0	0	0	0	0	0	0
PAFAH2	655	573	929	537	542	1700	171	157	181	1000	209	261
EXTL1	0	2	1	0	0	3	0	0	0	1	0	0
SLC30A2	1	3	3	1	0	4	0	0	0	0	1	1
TRIM63	0	0	0	0	0	0	0	0	0	1	0	0
PDIK1L	24	19	57	16	12	48	11	12	30	95	15	38
FAM110D	0	0	0	0	0	0	0	0	0	0	0	0
ZNF593	94	92	147	103	82	233	144	181	252	589	171	186
CNKSR1	334	360	495	419	284	874	217	241	206	1049	265	194
CATSPER4	1	3	0	0	0	0	1	0	0	4	1	1
CEP85	246	222	318	200	221	587	123	115	102	494	116	116
SH3BGRL3	10137	9136	13589	9981	9049	30442	5215	5843	5138	21371	4761	5056
UBXN11	44	50	53	49	31	114	43	57	57	151	27	30
CD52	0	1	0	0	0	0	0	0	0	1	2	3
ZNF683	0	0	0	0	0	0	0	0	0	1	0	0
LIN28A	0	0	0	0	0	0	0	0	0	0	0	0
DHDDS	576	568	900	587	601	1814	256	242	269	1429	342	303
HMGN2	334	244	448	317	277	829	476	514	436	1654	383	276
RPS6KA1	1100	894	1374	1100	1001	2793	564	552	676	3420	830	473
MIR1976	0	0	0	0	0	0	0	0	0	0	0	0
ARID1A	2240	2015	3142	2042	1915	5657	619	600	398	2968	676	619
PIGV	130	128	173	113	139	304	66	61	71	296	74	74
ZDHHC18	275	288	351	262	250	778	202	200	203	936	184	233
SFN	12382	12281	17852	15011	10503	34044	10617	11111	13986	55614	12874	11923
GPN2	168	157	243	187	144	580	108	93	165	749	168	136
GPATCH3	160	151	253	161	136	394	83	64	112	439	114	79
NR0B2	0	0	0	0	0	0	0	0	0	0	2	0
NUDC	1633	1368	2238	1671	1496	4614	1011	954	1207	4080	1085	960
TRNP1	810	739	1280	589	635	2187	416	441	625	1476	303	493
SLC9A1	1220	1161	1660	1269	1055	3267	559	601	461	3479	773	632
WDTC1	693	675	1036	715	605	1671	307	290	255	1250	260	341
TMEM222	204	236	307	206	164	535	214	209	251	1056	285	238
SYTL1	247	390	443	298	186	502	261	283	442	655	150	306
MAP3K6	396	367	483	468	313	1051	257	277	325	953	220	256
FCN3	0	1	0	0	0	0	0	0	0	6	1	0
CD164L2	31	42	30	27	18	61	10	13	17	21	7	18
GPR3	7	5	18	10	12	44	9	8	8	60	21	15
WASF2	4492	4137	6121	3582	3700	10142	839	793	676	4494	1149	1069
AHDC1	606	663	945	622	459	1389	357	312	320	1055	219	351
FGR	4	1	1	2	1	6	0	1	1	0	0	1
IFI6	49	91	37	207	233	912	39	14	55	422	191	934
FAM76A	134	117	227	92	106	294	43	62	64	234	44	70
STX12	438	382	758	371	379	1223	171	207	382	1620	258	482
PPP1R8	514	423	790	415	382	1323	251	270	383	1488	355	323
SCARNA1	0	0	0	0	0	0	0	0	0	3	0	0
THEMIS2	92	92	141	94	84	242	23	30	36	59	25	58
RPA2	401	374	757	355	336	978	296	284	303	950	219	325
SMPDL3B	29	36	53	39	31	123	5	12	11	44	7	8
XKR8	95	87	132	100	68	261	65	62	78	230	54	53
EYA3	524	429	784	436	469	1317	147	180	155	1019	265	210
PTAFR	1436	1220	1920	1582	1506	4535	296	304	238	2042	504	251
DNAJC8	2017	1552	2846	1539	1692	4931	670	719	763	2623	626	686
SESN2	368	324	502	380	258	962	178	204	231	1391	322	295
MED18	543	556	684	438	497	1398	104	106	190	806	174	137
PHACTR4	1119	957	1642	935	957	2810	236	246	239	1242	286	296
SNHG3	275	288	484	247	249	851	150	191	260	767	171	172
RCC1	951	802	1337	804	830	2247	496	460	558	2154	576	542
TRNAU1AP	202	179	292	169	172	553	127	116	154	505	134	98
SNHG12	221	185	235	188	189	521	170	184	213	526	117	148
SNORD99	16	13	21	7	10	31	6	4	3	5	2	9
SNORA61	43	49	103	72	73	152	0	0	0	0	0	0
SNORA44	9	17	42	16	19	34	1	0	0	0	0	0
SNORA16A	5	6	12	7	4	48	2	8	20	50	11	4
RAB42	0	1	4	1	3	5	2	0	1	2	0	0
TAF12	606	468	840	459	492	1406	200	225	282	837	186	187
RNU11	1	0	0	0	0	3	0	0	0	0	0	0
